법령일련번호,법령명,법령구분,소관부처,시행일자
283619,과세자료의 제출 및 관리에 관한 법률 시행령,대통령령,재정경제부,20260227
265829,과학관의 설립ㆍ운영 및 육성에 관한 법률,법률,과학기술정보통신부,20250423
283293,과학기술기본법,법률,과학기술정보통신부,20260210
280923,과학기술기본법 시행령,대통령령,과학기술정보통신부,20260102
285193,과학기술분야 정부출연연구기관 등의 설립ㆍ운영 및 육성에 관한 법률,법률,과학기술정보통신부,20260331
201137,과학기술유공자 예우 및 지원에 관한 법률,법률,과학기술정보통신부,20180417
268723,과학기술인공제회법,법률,과학기술정보통신부,20260201
283511,과학기술정보통신부와 그 소속기관 직제,대통령령,과학기술정보통신부,행정안전부,20260219
250657,관공서의 공휴일에 관한 규정,대통령령,인사혁신처,20230504
270599,관광기본법,법률,문화체육관광부,20251009
270601,관광진흥개발기금법,법률,문화체육관광부,20251009
276383,관광진흥법,법률,문화체육관광부,20260102
282125,관광진흥법 시행규칙,문화체육관광부령,문화체육관광부,20251229
270069,관광진흥법 시행령,대통령령,문화체육관광부,20260326
245397,관보규정,대통령령,행정안전부,20221115
245459,관보규정 시행규칙,행정안전부령,행정안전부,20221115
214441,관상어산업의 육성 및 지원에 관한 법률,법률,해양수산부,20200519
280363,관세법,법률,재정경제부,20260401
284979,관세법 시행규칙,재정경제부령,재정경제부,20260401
285309,관세법 시행령,대통령령,재정경제부,20260403
276069,관세사법,법률,재정경제부,20260102
284683,관세사법 시행령,대통령령,재정경제부,20260324
276465,광산안전법,법률,산업통상부,20251001
278299,광산안전법 시행령,대통령령,산업통상부,20260101
276467,광산피해의 방지 및 복구에 관한 법률,법률,산업통상부,20251001
283921,광업법,법률,산업통상부,20260310
278305,광업법 시행령,대통령령,산업통상부,20251001
276471,광융합기술 개발 및 기반조성 지원에 관한 법률,법률,산업통상부,20251001
276209,광주과학기술원법,법률,과학기술정보통신부,20251001
278197,광주과학기술원법 시행령,대통령령,과학기술정보통신부,20251001
279889,교과용 도서에 관한 규정,대통령령,교육부,20251125
227009,교원 등의 연수에 관한 규정,대통령령,교육부,20210105
243039,교원의 노동조합 설립 및 운영 등에 관한 법률,법률,고용노동부,20231211
256439,교원의 노동조합 설립 및 운영 등에 관한 법률 시행령,대통령령,고용노동부,20231211
283357,교원의 지위 향상 및 교육활동 보호를 위한 특별법,법률,교육부,20260219
265627,교원자격검정령,대통령령,교육부,20241002
251543,교육공무원 승진규정,대통령령,교육부,20240301
